title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; GADAVIST,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for GADAVIST and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 3832,2014-01307,https://www.federalregister.gov/documents/2014/01/23/2014-01307/determination-of-regulatory-review-period-for-purposes-of-patent-extension-gadavist,https://www.govinfo.gov/content/pkg/FR-2014-01-23/pdf/2014-01307.pdf,2014-01-23, GADAVIST,,John,GADAVIST,5980864,Bayer Schering Pharma Aktiengesellschaft,4269.0,3964,305.0,"July 8, 1999","July 8, 1999","March 14, 2011",NDA 201-277,1470
Determination of Regulatory Review Period for Purposes of Patent Extension; DALIRESP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for DALIRESP and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 3831,2014-01306,https://www.federalregister.gov/documents/2014/01/23/2014-01306/determination-of-regulatory-review-period-for-purposes-of-patent-extension-daliresp,https://www.govinfo.gov/content/pkg/FR-2014-01-23/pdf/2014-01306.pdf,2014-01-23, DALIRESP,,John,DALIRESP,5712298,Nycomed GmbH,4237.0,3645,592.0,"July 26, 1999","July 26, 1999","February 28, 2011",NDA 22-522,1826
Determination of Regulatory Review Period for Purposes of Patent Extension; NULOJIX,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NULOJIX and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 18036,2014-07060,https://www.federalregister.gov/documents/2014/03/31/2014-07060/determination-of-regulatory-review-period-for-purposes-of-patent-extension-nulojix,https://www.govinfo.gov/content/pkg/FR-2014-03-31/pdf/2014-07060.pdf,2014-03-31, NULOJIX,,John,NULOJIX,7094874,Bristol-Myers Squibb Company,4479.0,3764,715.0,"March 13, 1999","March 13, 1999","June 15, 2011",BLA 125288,789
Determination of Regulatory Review Period for Purposes of Patent Extension; PREVNAR-13,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PREVNAR-13 and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 18035,2014-07058,https://www.federalregister.gov/documents/2014/03/31/2014-07058/determination-of-regulatory-review-period-for-purposes-of-patent-extension-prevnar-13,https://www.govinfo.gov/content/pkg/FR-2014-03-31/pdf/2014-07058.pdf,2014-03-31, PREVNAR-13,,John,PREVNAR-13,5614382,Wyeth Holdings Corp.,2102.0,1771,331.0,"May 26, 2004","May 26, 2004","February 24, 2010",BLA 125324,1312
Determination of Regulatory Review Period for Purposes of Patent Extension; POTIGA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for POTIGA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 18564,2014-07334,https://www.federalregister.gov/documents/2014/04/02/2014-07334/determination-of-regulatory-review-period-for-purposes-of-patent-extension-potiga,https://www.govinfo.gov/content/pkg/FR-2014-04-02/pdf/2014-07334.pdf,2014-04-02, POTIGA,,John,POTIGA,6538151,Valeant Pharmaceuticals North America,5021.0,4432,589.0,"September 12, 1997","September 12, 1997","June 10, 2011",NDA 22-345,1794
Determination of Regulatory Review Period for Purposes of Patent Extension; FIRAZYR,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for FIRAZYR and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 18565,2014-07331,https://www.federalregister.gov/documents/2014/04/02/2014-07331/determination-of-regulatory-review-period-for-purposes-of-patent-extension-firazyr,https://www.govinfo.gov/content/pkg/FR-2014-04-02/pdf/2014-07331.pdf,2014-04-02, FIRAZYR,,John,FIRAZYR,5648333,Sanofi-Aventis Deutschland GmbH,2663.0,1263,1400.0,"May 12, 2004","May 12, 2004","August 25, 2011",NDA 22-150,5
Determination of Regulatory Review Period for Purposes of Patent Extension; EYLEA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for EYLEA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 18566,2014-07333,https://www.federalregister.gov/documents/2014/04/02/2014-07333/determination-of-regulatory-review-period-for-purposes-of-patent-extension-eylea,https://www.govinfo.gov/content/pkg/FR-2014-04-02/pdf/2014-07333.pdf,2014-04-02, EYLEA,,John,EYLEA,7070959; 7374757; and 7374758,"Regeneron Pharmaceuticals, Inc.",2349.0,2075,274.0,"June 15, 2005","June 15, 2005","November 18, 2011",BLA 125387,1118
Determination of Regulatory Review Period for Purposes of Patent Extension; ONSIOR,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ONSIOR and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",79 FR 18563,2014-07336,https://www.federalregister.gov/documents/2014/04/02/2014-07336/determination-of-regulatory-review-period-for-purposes-of-patent-extension-onsior,https://www.govinfo.gov/content/pkg/FR-2014-04-02/pdf/2014-07336.pdf,2014-04-02, ONSIOR,,John,ONSIOR,6291523 and 7115662,"Novartis Animal Health US, Inc.",3.0,1704,1650.0,"July 10, 2006","March 8, 2011","March 8, 2011",NADA 141-320,1308
Determination of Regulatory Review Period for Purposes of Patent Extension; NOVOTFF-100A SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NOVOTFF-100A SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",79 FR 18567,2014-07329,https://www.federalregister.gov/documents/2014/04/02/2014-07329/determination-of-regulatory-review-period-for-purposes-of-patent-extension-novotff-100a-system,https://www.govinfo.gov/content/pkg/FR-2014-04-02/pdf/2014-07329.pdf,2014-04-02, NOVOTFF-100A SYSTEM,,John,NOVOTFF-100A SYSTEM,7136699,Novocure Limited,1704.0,1468,236.0,"August 10, 2006","August 10, 2006","April 8, 2011",PMA P100034,807
Determination of Regulatory Review Period for Purposes of Patent Extension; MELAFIND SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for MELAFIND SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",79 FR 19101,2014-07657,https://www.federalregister.gov/documents/2014/04/07/2014-07657/determination-of-regulatory-review-period-for-purposes-of-patent-extension-melafind-system,https://www.govinfo.gov/content/pkg/FR-2014-04-07/pdf/2014-07657.pdf,2014-04-07, MELAFIND SYSTEM,,John,MELAFIND SYSTEM,6208749,MELA Sciences Inc.,3837.0,2961,876.0,"May 2, 2001","June 9, 2009","November 1, 2011",PMA P090012,2355
Determination of Regulatory Review Period for Purposes of Patent Extension; BRILINTA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for BRILINTA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 24444,2014-09772,https://www.federalregister.gov/documents/2014/04/30/2014-09772/determination-of-regulatory-review-period-for-purposes-of-patent-extension-brilinta,https://www.govinfo.gov/content/pkg/FR-2014-04-30/pdf/2014-09772.pdf,2014-04-30, BRILINTA,,John,BRILINTA,6525060; 6251910; 7250419; and 7265124,AstraZeneca UK Limited,2976.0,2364,612.0,"May 29, 2003","May 29, 2003","July 20, 2011",NDA 22-433,1794
Determination of Regulatory Review Period for Purposes of Patent Extension; YERVOY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for YERVOY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 24735,2014-09910,https://www.federalregister.gov/documents/2014/05/01/2014-09910/determination-of-regulatory-review-period-for-purposes-of-patent-extension-yervoy,https://www.govinfo.gov/content/pkg/FR-2014-05-01/pdf/2014-09910.pdf,2014-05-01, YERVOY,,Jonathan,YERVOY (ipilimumab),"6,984,720; 7,605,238","Medarex, Inc.",3879.0,3605.0,274.0,2000-08-12 00:00:00,2010-06-25,2011-03-25,BLA 125377/0,966 or 398 days
Determination of Regulatory Review Period for Purposes of Patent Extension; EDURANT,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for EDURANT and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 24736,2014-09911,https://www.federalregister.gov/documents/2014/05/01/2014-09911/determination-of-regulatory-review-period-for-purposes-of-patent-extension-edurant,https://www.govinfo.gov/content/pkg/FR-2014-05-01/pdf/2014-09911.pdf,2014-05-01, EDURANT,,Jonathan,EDURANT (rilpivirine hydrochloride),7125879,Janssen Pharmaceutica N.V.,2396.0,2094.0,302.0,2004-10-29 00:00:00,2010-07-23,2011-05-20,NDA 202022,768
Determination of Regulatory Review Period for Purposes of Patent Extension; SURFAXIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for SURFAXIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 27314,2014-10904,https://www.federalregister.gov/documents/2014/05/13/2014-10904/determination-of-regulatory-review-period-for-purposes-of-patent-extension-surfaxin,https://www.govinfo.gov/content/pkg/FR-2014-05-13/pdf/2014-10904.pdf,2014-05-13, SURFAXIN,,Jonathan,"SURFAXIN (lucinactant, which is a combination of four active ingredients—sinapultide, colfosceril palmitate, POPG (1-palmitoyl-2-oleoyl-sn-glycero-3-phosphoglycerol), and palmitic acid)",5407914,"Discovery Laboratories, Inc.",7124.0,4239.0,2885.0,1992-09-05 00:00:00,2004-04-13,2012-03-06,NDA 21-746,5 years
Determination of Regulatory Review Period for Purposes of Patent Extension; TRADJENTA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for TRADJENTA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 27316,2014-10945,https://www.federalregister.gov/documents/2014/05/13/2014-10945/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tradjenta,https://www.govinfo.gov/content/pkg/FR-2014-05-13/pdf/2014-10945.pdf,2014-05-13, TRADJENTA,,Jonathan,TRADJENTA (linagliptin),7407955,Boehringer Ingelheim Pharma GmbH & Co. KGA,2051.0,1746.0,305.0,2005-09-21 00:00:00,2010-07-02,2011-05-02,NDA 201-280,629
Determination of Regulatory Review Period for Purposes of Patent Extension; IMPROVEST,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for IMPROVEST and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",79 FR 27315,2014-10951,https://www.federalregister.gov/documents/2014/05/13/2014-10951/determination-of-regulatory-review-period-for-purposes-of-patent-extension-improvest,https://www.govinfo.gov/content/pkg/FR-2014-05-13/pdf/2014-10951.pdf,2014-05-13, IMPROVEST,,Jonathan,IMPROVEST (gonadotropin releasing factor analog-diptheria toxoid conjugate),7534441,Pfizer Inc.,2555.0,2498.0,57.0,2004-03-25 00:00:00,2011-01-25,2011-03-22,NADA 141-322,366
Determination of Regulatory Review Period for Purposes of Patent Extension; KYPROLIS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for KYPROLIS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 27877,2014-11175,https://www.federalregister.gov/documents/2014/05/15/2014-11175/determination-of-regulatory-review-period-for-purposes-of-patent-extension-kyprolis,https://www.govinfo.gov/content/pkg/FR-2014-05-15/pdf/2014-11175.pdf,2014-05-15, KYPROLIS,,Jonathan,KYPROLIS (carfilzomib),"7,232,818; 7,417,042; 7,491,704; 8,207,125; 8,207,126; 8,207,127; and 8,207,297","Onyx Therapeutics, Inc.",2565.0,2267.0,298.0,2005-07-14 00:00:00,2011-09-27,2012-07-20,NDA 202714,24 days; 43 days; or 462 days
Determination of Regulatory Review Period for Purposes of Patent Extension; BENLYSTA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for BENLYSTA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 27878,2014-11176,https://www.federalregister.gov/documents/2014/05/15/2014-11176/determination-of-regulatory-review-period-for-purposes-of-patent-extension-benlysta,https://www.govinfo.gov/content/pkg/FR-2014-05-15/pdf/2014-11176.pdf,2014-05-15, BENLYSTA,,Jonathan,BENLYSTA (belimumab),"6,403,770; 7,138,501; and 7,879,328",Human Genome Sciences Inc.,3426.0,3152.0,274.0,2001-10-23 00:00:00,2010-06-09,2011-03-09,BLA 125370/0,"1,733 days or 610 days or 37 days"
Determination of Regulatory Review Period for Purposes of Patent Extension; PALLADIA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PALLADIA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",79 FR 27879,2014-11172,https://www.federalregister.gov/documents/2014/05/15/2014-11172/determination-of-regulatory-review-period-for-purposes-of-patent-extension-palladia,https://www.govinfo.gov/content/pkg/FR-2014-05-15/pdf/2014-11172.pdf,2014-05-15, PALLADIA,,Jonathan,PALLADIA (toceranib phosphate),6573293,"Sugen, Inc. and Pharmacia & Upjohn Company LLC",2711.0,2681.0,30.0,2001-12-21 00:00:00,2009-04-23,2009-05-22,NADA 141-295,827
Determination of Regulatory Review Period for Purposes of Patent Extension; ELELYSO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ELELYSO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 28733,2014-11516,https://www.federalregister.gov/documents/2014/05/19/2014-11516/determination-of-regulatory-review-period-for-purposes-of-patent-extension-elelyso,https://www.govinfo.gov/content/pkg/FR-2014-05-19/pdf/2014-11516.pdf,2014-05-19, ELELYSO,,Jonathan,ELELYSO (taliglucerase alfa),7951557,Protalix Ltd.,2483.0,1746.0,737.0,2005-07-16 00:00:00,2010-04-26,2012-05-01,NDA 22-458,336
Determination of Regulatory Review Period for Purposes of Patent Extension; ZIOPTAN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ZIOPTAN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 28735,2014-11517,https://www.federalregister.gov/documents/2014/05/19/2014-11517/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zioptan,https://www.govinfo.gov/content/pkg/FR-2014-05-19/pdf/2014-11517.pdf,2014-05-19, ZIOPTAN,,Jonathan,ZIOPTAN (tafluprost),5886035,Asahi Glass Company Ltd.,3881.0,3481.0,400.0,2001-06-28 00:00:00,2011-01-07,2012-02-10,NDA 202514,5 years
Determination of Regulatory Review Period for Purposes of Patent Extension; PERJETA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PERJETA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 28734,2014-11515,https://www.federalregister.gov/documents/2014/05/19/2014-11515/determination-of-regulatory-review-period-for-purposes-of-patent-extension-perjeta,https://www.govinfo.gov/content/pkg/FR-2014-05-19/pdf/2014-11515.pdf,2014-05-19, PERJETA,,Jonathan,PERJETA (pertuzumab),"6,949,245; 7,560,111; 7,862,817","Genentech, Inc.",3925.0,3741.0,184.0,2001-09-11 00:00:00,2011-12-08,2012-06-08,BLA 125409,"1,317 or 624 or 354 days"
Determination of Regulatory Review Period for Purposes of Patent Extension; PICATO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PICATO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 28928,2014-11521,https://www.federalregister.gov/documents/2014/05/20/2014-11521/determination-of-regulatory-review-period-for-purposes-of-patent-extension-picato,https://www.govinfo.gov/content/pkg/FR-2014-05-20/pdf/2014-11521.pdf,2014-05-20, PICATO,,Jonathan,PICATO (ingenol mebutate),7410656,Leo Laboratories Ltd.,2737.0,2432.0,305.0,2004-07-28 00:00:00,2011-03-25,2012-01-23,NDA 202833,783
Determination of Regulatory Review Period for Purposes of Patent Extension; OMONTYS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OMONTYS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 28930,2014-11523,https://www.federalregister.gov/documents/2014/05/20/2014-11523/determination-of-regulatory-review-period-for-purposes-of-patent-extension-omontys,https://www.govinfo.gov/content/pkg/FR-2014-05-20/pdf/2014-11523.pdf,2014-05-20, OMONTYS,,Jonathan,OMONTYS (Peginesatide acetate),7414105,"Affymax, Inc.",2528.0,2222.0,306.0,2005-04-27 00:00:00,2011-05-27,2012-03-27,NDA 202799,684
Determination of Regulatory Review Period for Purposes of Patent Extension; INCIVEK,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for INCIVEK and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 28929,2014-11525,https://www.federalregister.gov/documents/2014/05/20/2014-11525/determination-of-regulatory-review-period-for-purposes-of-patent-extension-incivek,https://www.govinfo.gov/content/pkg/FR-2014-05-20/pdf/2014-11525.pdf,2014-05-20, INCIVEK,,Jonathan,INCIVEK (telaprevir),7820671,Vertex Pharmaceuticals Incorporated,2003.0,1821.0,182.0,2005-11-29 00:00:00,2010-11-23,2011-05-23,NDA 201-917,87
Determination of Regulatory Review Period for Purposes of Patent Extension; LINZESS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for LINZESS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 29782,2014-11926,https://www.federalregister.gov/documents/2014/05/23/2014-11926/determination-of-regulatory-review-period-for-purposes-of-patent-extension-linzess,https://www.govinfo.gov/content/pkg/FR-2014-05-23/pdf/2014-11926.pdf,2014-05-23, LINZESS,,Jonathan,LINZESS (linaclotide),7304036,"Ironwood Pharmaceuticals, Inc.",2863.0,2475.0,388.0,2004-10-30 00:00:00,2011-08-09,2012-08-30,NDA 202811,945
Determination of Regulatory Review Period for Purposes of Patent Extension; INLYTA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for INLYTA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 29783,2014-11925,https://www.federalregister.gov/documents/2014/05/23/2014-11925/determination-of-regulatory-review-period-for-purposes-of-patent-extension-inlyta,https://www.govinfo.gov/content/pkg/FR-2014-05-23/pdf/2014-11925.pdf,2014-05-23, INLYTA,,Jonathan,INLYTA (axitinib),6534524,"Agouron Pharmaceuticals, Inc.",3699.0,3410.0,289.0,2001-12-13 00:00:00,2011-04-14,2012-01-27,NDA 202324,1763
Determination of Regulatory Review Period for Purposes of Patent Extension; MYRBETRIQ,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for MYRBETRIQ and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 30622,2014-12292,https://www.federalregister.gov/documents/2014/05/28/2014-12292/determination-of-regulatory-review-period-for-purposes-of-patent-extension-myrbetriq,https://www.govinfo.gov/content/pkg/FR-2014-05-28/pdf/2014-12292.pdf,2014-05-28, MYRBETRIQ,,Jonathan,MYRBETRIQ (mirabegron),"6,346,532; 7,342,117; 7,750,029",Astellas Pharma Inc.,2213.0,1908.0,305.0,2006-06-09 00:00:00,2011-08-29,2012-06-28,NDA 202611,"515, 938, or 1,259 days"
Determination of Regulatory Review Period for Purposes of Patent Extension; MENHIBRIX,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for MENHIBRIX and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 30621,2014-12294,https://www.federalregister.gov/documents/2014/05/28/2014-12294/determination-of-regulatory-review-period-for-purposes-of-patent-extension-menhibrix,https://www.govinfo.gov/content/pkg/FR-2014-05-28/pdf/2014-12294.pdf,2014-05-28, MENHIBRIX,,Jonathan,MENHIBRIX (Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine),"5,693,326 and 5,955,079",Henry M. Jackson Foundation for the Advancement of Military Medicine,2924.0,1886.0,1038.0,2004-06-14 00:00:00,2009-08-12,2012-06-14,BLA 125363,1825
Determination of Regulatory Review Period for Purposes of Patent Extension; ADCETRIS-Biologics License Application 125399,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ADCETRIS based on biologics license application (BLA) 125399 and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of patents which claim that human biological product, ADCETRIS.",79 FR 30624,2014-12279,https://www.federalregister.gov/documents/2014/05/28/2014-12279/determination-of-regulatory-review-period-for-purposes-of-patent-extension-adcetris-biologics,https://www.govinfo.gov/content/pkg/FR-2014-05-28/pdf/2014-12279.pdf,2014-05-28, ADCETRIS-Biologics License Application 125399,,Jonathan,ADCETRIS (brentuximab vedotin),"7,829,531 and 7,090,843","Seattle Genetics, Inc.",1851.0,1678.0,173.0,2006-07-27 00:00:00,2011-02-28,2011-08-19,BLA 125399,229
Determination of Regulatory Review Period for Purposes of Patent Extension; ADCETRIS-Biologics License Application 125388,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ADCETRIS based on biologics license application (BLA) 125388 and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of patents which claim that human biological product, ADCETRIS.",79 FR 30625,2014-12277,https://www.federalregister.gov/documents/2014/05/28/2014-12277/determination-of-regulatory-review-period-for-purposes-of-patent-extension-adcetris-biologics,https://www.govinfo.gov/content/pkg/FR-2014-05-28/pdf/2014-12277.pdf,2014-05-28, ADCETRIS-Biologics License Application 125388,,Jonathan,ADCETRIS (brentuximab vedotin),"7,090,843 and 7,829,531","Seattle Genetics, Inc.",1851.0,1678.0,173.0,2006-07-27 00:00:00,2011-02-28,2011-08-19,BLA 125388,1002
Determination of Regulatory Review Period for Purposes of Patent Extension; RESOLUTE INTEGRITY ZOTAROLIMUS-ELUTING CORONARY STENT SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for RESOLUTE INTEGRITY ZOTAROLIMUS-ELUTING CORONARY STENT SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",79 FR 30623,2014-12295,https://www.federalregister.gov/documents/2014/05/28/2014-12295/determination-of-regulatory-review-period-for-purposes-of-patent-extension-resolute-integrity,https://www.govinfo.gov/content/pkg/FR-2014-05-28/pdf/2014-12295.pdf,2014-05-28, RESOLUTE INTEGRITY ZOTAROLIMUS-ELUTING CORONARY STENT SYSTEM,,Jonathan,RESOLUTE INTEGRITY ZOTAROLIMUS-ELUTING CORONARY STENT SYSTEM,7419696,"Medtronic, Inc.",1586.0,1263.0,323.0,2007-10-17 00:00:00,2011-04-01,2012-02-17,PMA P110013,794
Determination of Regulatory Review Period for Purposes of Patent Extension; XARELTO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for XARELTO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 30855,2014-12349,https://www.federalregister.gov/documents/2014/05/29/2014-12349/determination-of-regulatory-review-period-for-purposes-of-patent-extension-xarelto,https://www.govinfo.gov/content/pkg/FR-2014-05-29/pdf/2014-12349.pdf,2014-05-29, XARELTO,,Jonathan,XARELTO (rivaroxaban),7157456,Bayer Pharma Aktiengesellschaft,3291.0,2222.0,1069.0,2002-06-29 00:00:00,2008-07-28,2011-07-01,NDA 22-406,1354
Determination of Regulatory Review Period for Purposes of Patent Extension; ZACTRAN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ZACTRAN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",79 FR 30854,2014-12350,https://www.federalregister.gov/documents/2014/05/29/2014-12350/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zactran,https://www.govinfo.gov/content/pkg/FR-2014-05-29/pdf/2014-12350.pdf,2014-05-29, ZACTRAN,,Jonathan,ZACTRAN (gamithromycin),5985844,Merck Sharp & Dohme Corp.,2990.0,2930.0,60.0,2003-04-11 00:00:00,2011-04-18,2011-06-16,NADA 141-328,1826
